"filename", "language", "HTML", "JavaScript", "Markdown", "CSS", "comment", "blank", "total"
"d:\Github\jackTaldrich\Portfolio\README.md", "Markdown", 0, 0, 7, 0, 0, 1, 8
"d:\Github\jackTaldrich\Portfolio\css\style.css", "CSS", 0, 0, 0, 529, 1, 91, 621
"d:\Github\jackTaldrich\Portfolio\html\mobile.html", "HTML", 22, 0, 0, 0, 2, 3, 27
"d:\Github\jackTaldrich\Portfolio\html\portfolio.html", "HTML", 349, 0, 0, 0, 20, 13, 382
"d:\Github\jackTaldrich\Portfolio\index.html", "HTML", 57, 0, 0, 0, 18, 10, 85
"d:\Github\jackTaldrich\Portfolio\js\404redirect.js", "JavaScript", 0, 22, 0, 0, 1, 2, 25
"d:\Github\jackTaldrich\Portfolio\js\click-info.js", "JavaScript", 0, 16, 0, 0, 0, 4, 20
"d:\Github\jackTaldrich\Portfolio\js\image-click.js", "JavaScript", 0, 116, 0, 0, 0, 25, 141
"d:\Github\jackTaldrich\Portfolio\js\nophone.js", "JavaScript", 0, 6, 0, 0, 0, 1, 7
"d:\Github\jackTaldrich\Portfolio\js\scrollbar.js", "JavaScript", 0, 26, 0, 0, 0, 6, 32
"d:\Github\jackTaldrich\Portfolio\js\text-height.js", "JavaScript", 0, 28, 0, 0, 0, 7, 35
"Total", "-", 428, 214, 7, 529, 42, 163, 1383